producto,serial ,activo,Anillo retenedor,,,
TUBO,EBS-4206-DJ-SS-10-1,PCT-PUP-0447,NO,,,
TUBO,EBS-4206-DJ-SS-10-10,PCT-PUP-0454,NO,,,
TUBO,EBS-4206-DJ-SS-10-2,PCT-PUP-0448,NO,,,
TUBO,EBS-4206-DJ-SS-10-3,PCT-PUP-0449,NO,,,
TUBO,EBS-4206-DJ-SS-10-4,PCT-PUP-0450,NO,,,
TUBO,EBS-4206-DJ-SS-10-5,PCT-PUP-0451,NO,,,
TUBO,EBS-4206-DJ-SS-10-6,PCT-PUP-0452,NO,,,
TUBO,EBS-4206-DJ-SS-10-7,PCT-PUP-0453,NO,,,
TUBO,EBS-4206-DJ-SS-1-1/5,PCT-PUP-0487,NO,,,
TUBO,EBS-4206-DJ-SS-1-2,PCT-PUP-0488,NO,,,
TUBO,EBS-4206-DJ-SS-1-3,PCT-PUP-0489,NO,,,
TUBO,EBS-4206-DJ-SS-1-4,PCT-PUP-0490,NO,,,
TUBO,EBS-4206-DJ-SS-1-6,PCT-PUP-0491,NO,,,
TUBO,EBS-4206-DJ-SS-1-7,PCT-PUP-0492,NO,,,
TUBO,EBS-4206-DJ-SS-1-8,PCT-PUP-0493,NO,,,
TUBO,EBS-4206-DJ-SS-2-1,PCT-PUP-0479,NO,,,
TUBO,EBS-4206-DJ-SS-2-2,PCT-PUP-0480,NO,,,
TUBO,EBS-4206-DJ-SS-2-3,PCT-PUP-0481,NO,,,
TUBO,EBS-4206-DJ-SS-2-4,PCT-PUP-0482,NO,,,
TUBO,EBS-4206-DJ-SS-2-5,PCT-PUP-0483,NO,,,
TUBO,EBS-4206-DJ-SS-2-6,PCT-PUP-0484,NO,,,
TUBO,EBS-4206-DJ-SS-2-7,PCT-PUP-0485,NO,,,
TUBO,EBS-4206-DJ-SS-2-8,PCT-PUP-0486,NO,,,
TUBO,EBS-4206-DJ-SS-3-1,PCT-PUP-0471,NO,,,
TUBO,EBS-4206-DJ-SS-3-2,PCT-PUP-0472,NO,,,
TUBO,EBS-4206-DJ-SS-3-3,PCT-PUP-0473,NO,,,
TUBO,EBS-4206-DJ-SS-3-4,PCT-PUP-0474,NO,,,
TUBO,EBS-4206-DJ-SS-3-5,PCT-PUP-0475,NO,,,
TUBO,EBS-4206-DJ-SS-3-6,PCT-PUP-0476,NO,,,
TUBO,EBS-4206-DJ-SS-3-7,PCT-PUP-0477,NO,,,
TUBO,EBS-4206-DJ-SS-3-8,PCT-PUP-0478,NO,,,
TUBO,EBS-4206-DJ-SS-4-1,PCT-PUP-0463,NO,,,
TUBO,EBS-4206-DJ-SS-4-2,PCT-PUP-0464,NO,,,
TUBO,EBS-4206-DJ-SS-4-3,PCT-PUP-0465,NO,,,
TUBO,EBS-4206-DJ-SS-4-4,PCT-PUP-0466,NO,,,
TUBO,EBS-4206-DJ-SS-4-5,PCT-PUP-0467,NO,,,
TUBO,EBS-4206-DJ-SS-4-6,PCT-PUP-0468,NO,,,
TUBO,EBS-4206-DJ-SS-4-7,PCT-PUP-0469,NO,,,
TUBO,EBS-4206-DJ-SS-4-8,PCT-PUP-0470,NO,,,
TUBO,EBS-4206-DJ-SS-5-1,PCT-PUP-0455,NO,,,
TUBO,EBS-4206-DJ-SS-5-2,PCT-PUP-0456,NO,,,
TUBO,EBS-4206-DJ-SS-5-3,PCT-PUP-0457,NO,,,
TUBO,EBS-4206-DJ-SS-5-4,PCT-PUP-0458,NO,,,
TUBO,EBS-4206-DJ-SS-5-5,PCT-PUP-0459,NO,,,
TUBO,EBS-4206-DJ-SS-5-6,PCT-PUP-0460,NO,,,
TUBO,EBS-4206-DJ-SS-5-7,PCT-PUP-0461,NO,,,
TUBO,EBS-4206-DJ-SS-5-8,PCT-PUP-0462,NO,,,
TUBO,PCT-23-4206-10-001,PCT-PUP-0001,NO,,,
TUBO,PCT-23-4206-10-002,PCT-PUP-0002,NO,,,
TUBO,PCT-23-4206-10-003,PCT-PUP-0003,NO,,,
TUBO,PCT-23-4206-10-004,PCT-PUP-0004,NO,,,
TUBO,PCT-23-4206-10-005,PCT-PUP-0005,NO,,,
TUBO,PCT-23-4206-10-006,PCT-PUP-0006,NO,,,
TUBO,PCT-23-4206-10-007,PCT-PUP-0007,NO,,,
TUBO,PCT-23-4206-10-008,PCT-PUP-0008,NO,,,
TUBO,PCT-23-4206-10-009,PCT-PUP-0009,NO,,,
TUBO,PCT-23-4206-10-010,PCT-PUP-0010,NO,,,
TUBO,PCT-23-4206-10-011,PCT-PUP-0011,NO,,,
TUBO,PCT-23-4206-10-012,PCT-PUP-0012,NO,,,
TUBO,PCT-23-4206-10-013,PCT-PUP-0013,NO,,,
TUBO,PCT-23-4206-10-014,PCT-PUP-0014,NO,,,
TUBO,PCT-23-4206-10-015,PCT-PUP-0015,NO,,,
TUBO,PCT-23-4206-10-016,PCT-PUP-0016,NO,,,
TUBO,PCT-23-4206-10-017,PCT-PUP-0017,NO,,,
TUBO,PCT-23-4206-10-018,PCT-PUP-0018,NO,,,
