,,,,,,,,,,
N°,SERIE,SERIE-,N° DE REPORTE,N° DE REPORTE2,REPORTES,,,,,
1,PCT,24-21502-3-010,7,GIM-REP-PCT-007-2025,GIM-REP-PCT-007-2025,guillermo cano hernandez ,,GIM-REP-PCT-007-2025,,26/11/25
2,PCT,24-21502-3-007,8,GIM-REP-PCT-008-2025,GIM-REP-PCT-008-2025,,,GIM-REP-PCT-008-2025,,
3,PCT,24-21502-3-008,9,GIM-REP-PCT-009-2025,GIM-REP-PCT-009-2025,,,GIM-REP-PCT-009-2025,,gimpes inspeccion 
4,PCT,24-21502-3-009,10,GIM-REP-PCT-010-2025,GIM-REP-PCT-010-2025,,,GIM-REP-PCT-010-2025,,
5,PCT,24-21502-3-005,11,GIM-REP-PCT-011-2025,GIM-REP-PCT-011-2025,,,GIM-REP-PCT-011-2025,,
6,PCT,24-21502-3-002,12,GIM-REP-PCT-012-2025,GIM-REP-PCT-012-2025,,,GIM-REP-PCT-012-2025,,
7,PCT,24-21502-3-001,13,GIM-REP-PCT-013-2025,GIM-REP-PCT-013-2025,,,GIM-REP-PCT-013-2025,,
8,PCT,23-21502-3-005,14,GIM-REP-PCT-014,GIM-REP-PCT-014-2025,,,GIM-REP-PCT-014-2025,,
9,PCT,23-21502-3-009,15,GIM-REP-PCT-015,GIM-REP-PCT-015-2025,,,GIM-REP-PCT-015-2025,,
10,PCT,23-21502-3-001,16,GIM-REP-PCT-016,GIM-REP-PCT-016-2025,,,GIM-REP-PCT-016-2025,,
11,PCT,23-21502-3-002,17,GIM-REP-PCT-017,GIM-REP-PCT-017-2025,,,GIM-REP-PCT-017-2025,,
12,PCT,23-21502-3-008,18,GIM-REP-PCT-018,GIM-REP-PCT-018-2025,,,GIM-REP-PCT-018-2025,,
13,PCT,23-21502-3-003,19,GIM-REP-PCT-019,GIM-REP-PCT-019-2025,,,GIM-REP-PCT-019-2025,,
14,PCT,23-21502-5-005,20,GIM-REP-PCT-020,GIM-REP-PCT-020-2025,,,GIM-REP-PCT-020-2025,,
15,PCT,23-21502-5-010,21,GIM-REP-PCT-021,GIM-REP-PCT-021-2025,,,GIM-REP-PCT-021-2025,,
16,PCT,23-21502-5-006,22,GIM-REP-PCT-022,GIM-REP-PCT-022-2025,,,GIM-REP-PCT-022-2025,,
17,PCT,23-21502-5-003,23,GIM-REP-PCT-023,GIM-REP-PCT-023-2025,,,GIM-REP-PCT-023-2025,,
18,PCT,24-31502-10-009,24,GIM-REP-PCT-024,GIM-REP-PCT-024-2025,,,GIM-REP-PCT-024-2025,,
19,PCT,24-31502-10-008,25,GIM-REP-PCT-025,GIM-REP-PCT-025-2025,,,GIM-REP-PCT-025-2025,,
