Listado de equipos que no aplica UTT,,,,
,,,,
#,TIPO,ACTIVO,SERIAL,
1,BRIDA CIEGA,PCT-23-BC-2-001,PCT-BC-01,
2,BRIDA CIEGA,PCT-23-BC-2-002,PCT-BC-02,
3,BRIDA CIEGA,993 10,PCT-BC-03,
4,BRIDA CIEGA,993 11,PCT-BC-04,
5,BRIDA CIEGA,993 12,PCT-BC-05,
6,BRIDA CIEGA,PCT-BC-06,PCT-BC-06,
7,BRIDA CIEGA,PCT-BC-07,PCT-BC-07,
8,BRIDA CIEGA,PCT-BC-08,PCT-BC-08,
9,BRIDA DE PRUEBA,PCT-BP-01,PCT-BP-01,
10,BRIDA DE PRUEBA,PCT-BP-03,PCT-BP-03,
11,BRIDA DE PRUEBA,PCT-BP-04,PCT-BP-04,
12,BRIDA DE PRUEBA,2020087,PCT-BP-05,
13,BRIDA DE PRUEBA,PCT-BP-06,PCT-BP-06,
14,BRIDA DE PRUEBA,PCT-BP-07,PCT-BP-07,
15,BRIDA DE PRUEBA,PCT-BP-08,PCT-BP-08,
16,BRIDA DE PRUEBA,PCT-BP-09,PCT-BP-09,
17,BRIDA DE PRUEBA,PCT-BP-10,PCT-BP-10,
18,BRIDA DE PRUEBA,PCT-BP-11,PCT-BP-11,
19,BRIDA DE PRUEBA,PCT-BP-12,PCT-BP-12,
20,TAPA,PCT-24-4206-C-001,PCT-CAP-001,
21,TAPA,PCT-24-4206-C-002,PCT-CAP-002,
22,TAPA,PCT-23-6206-C-001,PCT-CAP-003,
23,TAPA,PCT-23-6206-C-002,PCT-CAP-004,
24,TAPA,PCT-23-4602-C-001,PCT-CAP-005,
25,TAPA,PCT-23-4602-C-002,PCT-CAP-006,
26,TAPA,PCT-23-21502-C-001,PCT-CAP-007,
27,TAPA,PCT-23-21502-C-002,PCT-CAP-008,
28,TAPA,PCT-24-31502-C-001,PCT-CAP-009,
29,TAPA,PCT-24-31502-C-002,PCT-CAP-010,
30,TAPA,PCT-24-21502-C-001,PCT-CAP-011,
31,TAPA,PCT-24-21502-C-002,PCT-CAP-012,
32,TAPA,PCT-24-4206-C-003,PCT-CAP-013,
33,TAPA,PCT-24-4206-C-004,PCT-CAP-014,
34,TAPA,25322-293,PCT-CAP-015,
35,TAPA,25322-294,PCT-CAP-016,
36,TAPA,25322-297,PCT-CAP-017,
37,TAPA,25322-298,PCT-CAP-018,
38,TAPA,25322-301,PCT-CAP-019,
39,TAPA,25322-302,PCT-CAP-020,
40,TAPA,25322-305,PCT-CAP-021,
41,TAPA,25322-306,PCT-CAP-022,
42,TAPA,25322-310,PCT-CAP-023,
43,TAPA,25322-311,PCT-CAP-024,
44,TAPA,25322-312,PCT-CAP-025,
45,TAPA,25322-314,PCT-CAP-026,
46,TAPA,25322-316,PCT-CAP-027,
47,TAPA,25322-320,PCT-CAP-028,
48,TAPA,25322-321,PCT-CAP-029,
49,TAPA,25322-322,PCT-CAP-030,
50,TAPA,PCT-24-4206-C-005,PCT-CAP-031,
51,BRIDA ADAPTADORA,PCT-DSA-01,PCT-DSA-01,
52,BRIDA ADAPTADORA,PCT-DSA-02,PCT-DSA-02,
53,BRIDA ADAPTADORA,PCT-DSA-03,PCT-DSA-03,
54,BRIDA ADAPTADORA,PCT-DSA-04,PCT-DSA-04,
55,BRIDA ADAPTADORA,PCT-DSA-05,PCT-DSA-05,
56,BRIDA ADAPTADORA,PCT-DSA-06,PCT-DSA-06,
57,BRIDA ADAPTADORA,PCT-DSA-07,PCT-DSA-07,
58,BRIDA ADAPTADORA,PCT-DSA-08,PCT-DSA-08,
59,BRIDA ADAPTADORA,PCT-DSA-09,PCT-DSA-09,
60,BRIDA ADAPTADORA,PCT-DSA-10,PCT-DSA-10,
61,BRIDA ADAPTADORA,J4712-05,PCT-DSA-11,
62,BRIDA ADAPTADORA,J4712-10,PCT-DSA-12,
63,BRIDA ADAPTADORA,J4712-15,PCT-DSA-13,
64,BRIDA ADAPTADORA,PCT-DSA-14,PCT-DSA-14,
65,BRIDA ADAPTADORA,PCT-DSA-15,PCT-DSA-15,
66,BRIDA ADAPTADORA,PCT-DSA-16,PCT-DSA-16,
67,BRIDA ADAPTADORA,PCT-DSA-17,PCT-DSA-17,
68,BRIDA ADAPTADORA,PCT-DSA-18,PCT-DSA-18,
69,BRIDA ADAPTADORA,PCT-DSA-19,PCT-DSA-19,
70,BRIDA ADAPTADORA,2020090,PCT-DSA-20,
71,BRIDA ADAPTADORA,2020088,PCT-DSA-21,
72,BRIDA ADAPTADORA,2020089,PCT-DSA-22,
73,BRIDA ADAPTADORA,250219F01,PCT-DSA-23,
74,TAPON,PCT-24-4206-P-001,PCT-PLG-001,
75,TAPON,PCT-24-4206-P-002,PCT-PLG-002,
76,TAPON,PCT-23-6206-P-001,PCT-PLG-003,
77,TAPON,PCT-23-6206-P-002,PCT-PLG-004,
78,TAPON,PCT-23-4602-P-001,PCT-PLG-005,
79,TAPON,PCT-23-4602-P-002,PCT-PLG-006,
80,TAPON,PCT-23-21502-P-001,PCT-PLG-007,
81,TAPON,PCT-23-21502-P-002,PCT-PLG-008,
82,TAPON,PCT-24-31502-P-001,PCT-PLG-009,
83,TAPON,PCT-24-31502-P-002,PCT-PLG-010,
84,TAPON,PCT-24-21502-P-001,PCT-PLG-011,
85,TAPON,PCT-24-21502-P-002,PCT-PLG-012,
86,TAPON,PCT-24-4206-P-003,PCT-PLG-013,
87,TAPON,PCT-24-4206-P-004,PCT-PLG-014,
