,,,,
,FOLIO FINAL,FECHA,,
,PCT-NDT-1-26-0001,1/5/26,,
,PCT-NDT-1-26-0002,1/6/26,,
,PCT-NDT-1-26-0005,1/10/26,,
,PCT-NDT-1-26-0025,1/14/26,,
,PCT-NDT-1-26-0044,2/10/26,,
,PCT-NDT-1-26-0061,3/3/26,,
,PCT-NDT-1-26-0071,3/3/26,,
,PCT-NDT-1-26-0072,3/3/26,,
,PCT-NDT-1-26-0073,3/4/26,,
,PCT-NDT-1-26-0074,3/4/26,,
,PCT-NDT-1-26-0075,3/5/26,,
,PCT-NDT-1-26-0078,3/9/26,,
,PCT-NDT-1-26-0079,3/13/26,,
,PCT-NDT-1-26-0080,3/13/26,,
,PCT-NDT-1-26-0081,3/13/26,,
,PCT-NDT-1-26-0083,3/20/26,,
,PCT-NDT-1-26-0084,3/20/26,,
,PCT-NDT-1-26-0086,3/23/26,,
,PCT-NDT-1-26-0089,3/25/26,,
,PCT-NDT-1-26-0091,3/26/26,,
,PCT-NDT-1-26-0091,3/25/26,,
,PCT-NDT-1-26-0094,4/1/26,,
,PCT-NDT-1-26-0101,4/1/26,,
,PCT-NDT-1-26-0104,4/7/26,,
,PCT-NDT-1-26-0105,4/6/26,,
,PCT-NDT-1-26-0111,4/7/26,,
,PCT-NDT-1-26-0113,4/7/26,,
,PCT-NDT-1-26-0114,4/7/26,,
,PCT-NDT-1-26-0115,4/7/26,,
,PCT-NDT-1-26-0117,4/7/26,,
,PCT-NDT-1-26-0119,4/7/26,,
,PCT-NDT-1-26-0119,4/8/26,,
,PCT-NDT-1-26-0121,4/8/26,,
,PCT-NDT-1-26-0123,4/8/26,,
,PCT-NDT-1-26-0125,4/8/26,,
,PCT-NDT-1-26-0126,4/8/26,,
,PCT-NDT-1-26-0127,4/9/26,,
,PCT-NDT-1-26-0128,4/9/26,,
,PCT-NDT-1-26-0130,4/9/26,,
,PCT-NDT-1-26-0133,4/9/26,,
,PCT-NDT-1-26-0135,4/9/26,,
,PCT-NDT-1-26-0136,4/15/26,,
,PCT-NDT-1-26-0137,4/15/26,,
,PCT-NDT-1-26-0141,4/13/26,,
,PCT-NDT-1-26-0142,4/13/26,,
,PCT-NDT-1-26-0143,4/15/26,,
,PCT-NDT-1-26-0144,4/15/26,,
,PCT-NDT-1-26-0145,4/14/26,,
,PCT-NDT-1-26-0146,4/14/26,,
,PCT-NDT-1-26-0148,4/16/26,,
,PCT-NDT-1-26-0148,4/20/26,,
,PCT-NDT-1-26-0149,4/16/26,,
,PCT-NDT-1-26-0150,4/16/26,,
,PCT-NDT-1-26-0151,4/17/26,,
,PCT-NDT-1-26-0152,4/17/26,,
,PCT-NDT-1-26-0153,4/17/26,,
,PCT-NDT-1-26-0154,4/18/26,,
,PCT-NDT-1-26-0155,4/18/26,,
,PCT-NDT-1-26-0156,4/18/26,,
,PCT-NDT-1-26-0156,4/23/26,,
,PCT-NDT-1-26-0158,4/20/26,,
,PCT-NDT-1-26-0159,4/20/26,,
,PCT-NDT-1-26-0160,4/20/26,,
,PCT-NDT-1-26-0162,4/22/26,,
,PCT-NDT-1-26-0163,4/23/26,,
,PCT-NDT-1-26-0164,4/23/26,,
,PCT-NDT-1-26-0165,4/23/26,,
,PCT-NDT-1-26-0170,4/18/26,,
,PCT-NDT-1-26-0172,4/18/26,,
