,,,,,,,
#,Tipo,No. Activo,No. Serial,No. De Reporte de PH,FECHA,Observaciones,
1,90,PCT-90-125,PCT-24-4206-90-043,PCT-NDT-1-26-0128,4/9/26,,
2,90,PCT-90-137,PCT-24-4206-90-055,PCT-NDT-1-26-0128,4/9/26,,
3,90,PCT-90-122,PCT-24-4206-90-040,PCT-NDT-1-26-0128,4/9/26,,
4,90,PCT-90-119,PCT-24-4206-90-037,PCT-NDT-1-26-0126,4/8/26,,
5,90,PCT-90-148,PCT-24-4206-90-066,PCT-NDT-1-26-0128,4/9/26,,
6,90,PCT-90-118,PCT-24-4206-90-036,PCT-NDT-1-26-0126,4/8/26,,
7,90,PCT-90-154,PCT-24-4206-90-072,PCT-NDT-1-26-0128,4/9/26,,
8,90,PCT-90-151,PCT-24-4206-90-069,PCT-NDT-1-26-0128,4/9/26,,
9,90,PCT-90-143,PCT-24-4206-90-061,PCT-NDT-1-26-0128,4/9/26,,
10,90,PCT-90-147,PCT-24-4206-90-065,PCT-NDT-1-26-0128,4/9/26,,
11,90,PCT-90-156,PCT-24-4206-90-074,PCT-NDT-1-26-0126,4/8/26,,
12,90,PCT-90-158,PCT-24-4206-90-076,PCT-NDT-1-26-0128,4/9/26,,
13,90,PCT-90-136,PCT-24-4206-90-054,PCT-NDT-1-26-0128,4/9/26,,
14,90,PCT-90-161,PCT-24-4206-90-079,PCT-NDT-1-26-0128,4/9/26,,
15,90,PCT-90-149,PCT-24-4206-90-067,PCT-NDT-1-26-0128,4/9/26,,
16,90,PCT-90-112,PCT-24-4206-90-030,PCT-NDT-1-26-0128,4/9/26,,
17,90,PCT-90-104,PCT-24-4206-90-022,PCT-NDT-1-26-0128,4/9/26,,
18,90,PCT-90-124,PCT-24-4206-90-042,PCT-NDT-1-26-0128,4/9/26,,
19,90,PCT-90-128,PCT-24-4206-90-046,PCT-NDT-1-26-0128,4/9/26,,
20,90,PCT-90-135,PCT-24-4206-90-053,PCT-NDT-1-26-0126,4/8/26,,
21,90,PCT-90-139,PCT-24-4206-90-057,PCT-NDT-1-26-0128,4/9/26,,
22,90,PCT-90-113,PCT-24-4206-90-031,PCT-NDT-1-26-0126,4/8/26,,
23,90,PCT-90-126,PCT-24-4206-90-044,PCT-NDT-1-26-0128,4/9/26,,
24,90,PCT-90-107,PCT-24-4206-90-025,PCT-NDT-1-26-0128,4/9/26,,
25,90,PCT-90-120,PCT-24-4206-90-038,PCT-NDT-1-26-0126,4/8/26,,
26,90,PCT-90-132,PCT-24-4206-90-050,PCT-NDT-1-26-0128,4/9/26,,
27,90,PCT-90-114,PCT-24-4206-90-032,PCT-NDT-1-26-0128,4/9/26,,
28,90,PCT-90-129,PCT-24-4206-90-047,PCT-NDT-1-26-0126,4/8/26,,
29,90,PCT-90-133,PCT-24-4206-90-051,PCT-NDT-1-26-0126,4/8/26,,
30,90,PCT-90-142,PCT-24-4206-90-060,PCT-NDT-1-26-0128,4/9/26,,
31,90,PCT-90-123,PCT-24-4206-90-041,PCT-NDT-1-26-0128,4/9/26,,
32,90,PCT-90-145,PCT-24-4206-90-063,PCT-NDT-1-26-0128,4/9/26,,
33,90,PCT-90-140,PCT-24-4206-90-058,PCT-NDT-1-26-0128,4/9/26,,
34,90,PCT-90-150,PCT-24-4206-90-068,PCT-NDT-1-26-0126,4/8/26,,
35,90,PCT-90-162,PCT-24-4206-90-080,PCT-NDT-1-26-0126,4/8/26,,
36,90,PCT-90-127,PCT-24-4206-90-045,PCT-NDT-1-26-0126,4/8/26,,
37,90,PCT-90-157,PCT-24-4206-90-075,PCT-NDT-1-26-0128,4/9/26,,
38,90,PCT-90-117,PCT-24-4206-90-035,PCT-NDT-1-26-0128,4/9/26,,
39,90,PCT-90-109,PCT-24-4206-90-027,PCT-NDT-1-26-0128,4/9/26,,
40,90,PCT-90-144,PCT-24-4206-90-062,PCT-NDT-1-26-0128,4/9/26,,
41,90,PCT-90-152,PCT-24-4206-90-070,PCT-NDT-1-26-0128,4/9/26,,
42,90,PCT-90-111,PCT-24-4206-90-029,PCT-NDT-1-26-0128,4/9/26,,
43,90,PCT-90-130,PCT-24-4206-90-048,PCT-NDT-1-26-0128,4/9/26,,
44,90,PCT-90-131,PCT-24-4206-90-049,PCT-NDT-1-26-0128,4/9/26,,
45,90,PCT-90-103,PCT-24-4206-90-021,PCT-NDT-1-26-0126,4/8/26,,
46,90,PCT-90-153,PCT-24-4206-90-071,PCT-NDT-1-26-0126,4/8/26,,
47,90,PCT-90-155,PCT-24-4206-90-073,PCT-NDT-1-26-0126,4/8/26,,
48,90,PCT-90-110,PCT-24-4206-90-028,PCT-NDT-1-26-0126,4/8/26,,
49,90,PCT-90-160,PCT-24-4206-90-078,PCT-NDT-1-26-0128,4/9/26,,
50,Xover,PCT-XO-063,PCT-24-XO-036,PCT-NDT-1-26-0135,4/9/26,,
51,90,PCT-90-134,PCT-24-4206-90-052,PCT-NDT-1-26-0128,4/9/26,,
52,Xover,PCT-XO-051,PCT-24-XO-024,PCT-NDT-1-26-0089,3/25/26,,
53,90,PCT-90-115,PCT-24-4206-90-033,PCT-NDT-1-26-0126,4/8/26,,
54,90,PCT-90-108,PCT-24-4206-90-026,PCT-NDT-1-26-0126,4/8/26,,
55,90,PCT-90-138,PCT-24-4206-90-056,PCT-NDT-1-26-0126,4/8/26,,
56,90,PCT-90-141,PCT-24-4206-90-059,PCT-NDT-1-26-0128,4/9/26,,
57,90,PCT-90-106,PCT-24-4206-90-024,PCT-NDT-1-26-0126,4/8/26,,
58,90,PCT-90-116,PCT-24-4206-90-034,PCT-NDT-1-26-0128,4/9/26,,
59,90,PCT-90-105,PCT-24-4206-90-023,PCT-NDT-1-26-0128,4/9/26,,
60,90,PCT-90-146,PCT-24-4206-90-064,PCT-NDT-1-26-0126,4/8/26,,
61,90,PCT-90-159,PCT-24-4206-90-077,PCT-NDT-1-26-0128,4/9/26,,
62,90,PCT-90-121,PCT-24-4206-90-039,PCT-NDT-1-26-0128,4/9/26,,
63,Tubo,PCT-PUP-0479,EBS-4206-DJ-SS-2-1,PCT-NDT-1-26-0121,4/8/26,,
64,Tubo,PCT-PUP-0481,EBS-4206-DJ-SS-2-3,PCT-NDT-1-26-0121,4/8/26,,
