#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
,,TUBERIA 602,,,,,,,
1,TUBO,PCT-23-4602-1-001,PCT-PUP-0117,SI,,,,,
2,TUBO,PCT-23-4602-1-002,PCT-PUP-0118,SI,,,,,
3,TUBO,PCT-23-4602-1-003,PCT-PUP-0119,SI,,,,,
4,TUBO,PCT-23-4602-1-004,PCT-PUP-0120,SI,,,,,
5,TUBO,PCT-23-4602-1-005,PCT-PUP-0121,SI,,,,,
6,TUBO,PCT-23-4602-1-006,PCT-PUP-0122,SI,,,,,
7,TUBO,PCT-23-4602-1-007,PCT-PUP-0123,SI,,,,,
8,TUBO,PCT-23-4602-1-008,PCT-PUP-0124,SI,,,,,
9,TUBO,PCT-23-4602-1-009,PCT-PUP-0125,SI,,,,,
10,TUBO,PCT-23-4602-1-010,PCT-PUP-0126,SI,,,,,
11,TUBO,PCT-23-4602-2-001,PCT-PUP-0127,SI,,,,,
12,TUBO,PCT-23-4602-2-002,PCT-PUP-0128,SI,,,,,
13,TUBO,PCT-23-4602-2-003,PCT-PUP-0129,SI,,,,,
14,TUBO,PCT-23-4602-2-004,PCT-PUP-0130,SI,,,,,
15,TUBO,PCT-23-4602-2-005,PCT-PUP-0131,SI,,,,,
16,TUBO,PCT-23-4602-2-006,PCT-PUP-0132,SI,,,,,
17,TUBO,PCT-23-4602-2-007,PCT-PUP-0133,SI,,,,,
18,TUBO,PCT-23-4602-2-008,PCT-PUP-0134,SI,,,,,
19,TUBO,PCT-23-4602-2-009,PCT-PUP-0135,SI,,,,,
20,TUBO,PCT-23-4602-2-010,PCT-PUP-0136,SI,,,,,
21,TUBO,PCT-23-4602-3-001,PCT-PUP-0137,SI,,,,,
22,TUBO,PCT-23-4602-3-002,PCT-PUP-0138,SI,,,,,
23,TUBO,PCT-23-4602-3-003,PCT-PUP-0139,SI,,,,,
24,TUBO,PCT-23-4602-3-004,PCT-PUP-0140,SI,,,,,
25,TUBO,PCT-23-4602-3-005,PCT-PUP-0141,SI,,,,,
26,TUBO,PCT-23-4602-3-006,PCT-PUP-0142,SI,,,,,
27,TUBO,PCT-23-4602-3-007,PCT-PUP-0143,SI,,,,,
28,TUBO,PCT-23-4602-3-008,PCT-PUP-0144,SI,,,,,
29,TUBO,PCT-23-4602-3-009,PCT-PUP-0145,SI,,,,,
30,TUBO,PCT-23-4602-3-010,PCT-PUP-0146,SI,,,,,
31,TUBO,PCT-23-4602-5-001,PCT-PUP-0147,SI,,,,,
32,TUBO,PCT-23-4602-5-002,PCT-PUP-0148,SI,,,,,
33,TUBO,PCT-23-4602-5-003,PCT-PUP-0149,SI,,,,,
34,TUBO,PCT-23-4602-5-004,PCT-PUP-0150,SI,,,,,
35,TUBO,PCT-23-4602-5-005,PCT-PUP-0151,SI,,,,,
36,TUBO,PCT-23-4602-5-006,PCT-PUP-0152,SI,,,,,
37,TUBO,PCT-23-4602-5-007,PCT-PUP-0153,SI,,,,,
38,TUBO,PCT-23-4602-5-008,PCT-PUP-0154,SI,,,,,
39,TUBO,PCT-23-4602-5-009,PCT-PUP-0155,SI,,,,,
40,TUBO,PCT-23-4602-5-010,PCT-PUP-0156,SI,,,,,
41,TUBO,PCT-23-4602-10-001,PCT-PUP-0157,SI,,,,,
42,TUBO,PCT-23-4602-10-002,PCT-PUP-0158,SI,,,,,
43,TUBO,PCT-23-4602-10-003,PCT-PUP-0159,SI,,,,,
44,TUBO,PCT-23-4602-10-004,PCT-PUP-0160,SI,,,,,
45,TUBO,PCT-23-4602-10-005,PCT-PUP-0161,SI,,,,,
46,TUBO,PCT-23-4602-10-006,PCT-PUP-0162,SI,,,,,
47,TUBO,PCT-23-4602-10-007,PCT-PUP-0163,SI,,,,,
48,TUBO,PCT-23-4602-10-008,PCT-PUP-0164,SI,,,,,
49,TUBO,PCT-23-4602-10-009,PCT-PUP-0165,SI,,,,,
50,TUBO,PCT-23-4602-10-010,PCT-PUP-0166,SI,,,,,
51,90,PCT-23-4602-90-001,PCT-90-033,SI,,,,,
52,90,PCT-23-4602-90-002,PCT-90-034,SI,,,,,
53,90,PCT-23-4602-90-003,PCT-90-035,SI,,,,,
54,90,PCT-23-4602-90-004,PCT-90-036,SI,,,,,
55,90,PCT-23-4602-90-005,PCT-90-037,SI,,,,,
56,90,PCT-23-4602-90-006,PCT-90-038,SI,,,,,
57,90,PCT-23-4602-90-007,PCT-90-039,SI,,,,,
58,90,PCT-23-4602-90-008,PCT-90-040,SI,,,,,
59,90,PCT-23-4602-90-009,PCT-90-041,SI,,,,,
60,90,PCT-23-4602-90-010,PCT-90-042,SI,,,,,
61,90,PCT-23-4602-90-011,PCT-90-043,SI,,,,,
62,90,PCT-23-4602-90-012,PCT-90-044,SI,,,,,
63,90,PCT-23-4602-90-013,PCT-90-045,SI,,,,,
64,90,PCT-23-4602-90-014,PCT-90-046,SI,,,,,
65,90,PCT-23-4602-90-015,PCT-90-047,SI,,,,,
66,90,PCT-23-4602-90-016,PCT-90-048,SI,,,,,
67,90,PCT-23-4602-90-017,PCT-90-049,SI,,,,,
68,90,PCT-23-4602-90-018,PCT-90-050,SI,,,,,
69,90,PCT-23-4602-90-019,PCT-90-051,SI,,,,,
70,90,PCT-23-4602-90-020,PCT-90-052,SI,,,,,
71,45,PCT-23-4602-45-001,PCT-45-023,SI,,,,,
72,45,PCT-23-4602-45-002,PCT-45-024,SI,,,,,
73,45,PCT-23-4602-45-003,PCT-45-025,SI,,,,,
74,45,PCT-23-4602-45-004,PCT-45-026,SI,,,,,
75,45,PCT-23-4602-45-005,PCT-45-027,SI,,,,,
76,45,PCT-23-4602-45-006,PCT-45-028,SI,,,,,
77,45,PCT-23-4602-45-007,PCT-45-029,SI,,,,,
78,45,PCT-23-4602-45-008,PCT-45-030,SI,,,,,
79,45,PCT-23-4602-45-009,PCT-45-031,SI,,,,,
