edo,invre_equipo,invre_serial,match_equipo_exact,match_serial_exact,match_equipo_norm,match_serial_norm,equipo_norm_hits,serial_norm_hits,suggest_norm_1,suggest_dist_1,suggest_norm_2,suggest_dist_2,suggest_norm_3,suggest_dist_3,suggest_norm_4,suggest_dist_4,suggest_norm_5,suggest_dist_5
WIP,PCT-XO-078,25322-001,0,0,0,0,,,PCTXO048,1,PCTXO07,1,PCTXO08,1,PCTXO011,2,PCTXO014,2
WIP,PCT-XO-079,25322-002,0,0,0,0,,,PCTXO07,1,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-080,25322-003,0,0,0,0,,,PCTXO040,1,PCTXO08,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-081,25322-004,0,0,0,0,,,PCTXO011,1,PCTXO041,1,PCTXO051,1,PCTXO08,1,PCTXO014,2
WIP,PCT-XO-082,25322-005,0,0,0,0,,,PCTXO08,1,PCTXO011,2,PCTXO014,2,PCTXO04,2,PCTXO040,2
WIP,PCT-XO-083,25322-006,0,0,0,0,,,PCTXO08,1,PCTXO011,2,PCTXO014,2,PCTXO04,2,PCTXO040,2
WIP,PCT-XO-084,25322-007,0,0,0,0,,,PCTXO014,1,PCTXO04,1,PCTXO08,1,PCTXO011,2,PCTXO040,2
WIP,PCT-XO-085,25322-008,0,0,0,0,,,PCTXO05,1,PCTXO08,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-086,25322-009,0,0,0,0,,,PCTXO046,1,PCTXO06,1,PCTXO08,1,PCTXO011,2,PCTXO014,2
WIP,PCT-XO-087,25322-010,0,0,0,0,,,PCTXO07,1,PCTXO08,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-088,25322-011,0,0,0,0,,,PCTXO048,1,PCTXO08,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-089,25322-012,0,0,0,0,,,PCTXO08,1,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-090,25322-013,0,0,0,0,,,PCTXO040,1,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-091,25322-014,0,0,0,0,,,PCTXO011,1,PCTXO041,1,PCTXO051,1,PCTXO09,1,PCTXO014,2
WIP,PCT-XO-092,25322-015,0,0,0,0,,,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2,PCTXO040,2
WIP,PCT-XO-093,25322-016,0,0,0,0,,,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2,PCTXO040,2
WIP,PCT-XO-094,25322-017,0,0,0,0,,,PCTXO014,1,PCTXO04,1,PCTXO09,1,PCTXO011,2,PCTXO040,2
WIP,PCT-XO-095,25322-018,0,0,0,0,,,PCTXO05,1,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-096,25322-019,0,0,0,0,,,PCTXO046,1,PCTXO06,1,PCTXO09,1,PCTXO011,2,PCTXO014,2
WIP,PCT-XO-097,25322-020,0,0,0,0,,,PCTXO07,1,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2
WIP,PCT-XO-098,25322-021,0,0,0,0,,,PCTXO048,1,PCTXO08,1,PCTXO09,1,PCTXO011,2,PCTXO014,2
WIP,PCT-XO-099,25322-022,0,0,0,0,,,PCTXO09,1,PCTXO011,2,PCTXO014,2,PCTXO04,2,PCTXO040,2
WIP,PCT-XO-100,25322-023,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-101,25322-024,0,0,0,0,,,PCTXO10,1,PCTXO11,1,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-102,25322-025,0,0,0,0,,,PCTXO10,1,PCTXO12,1,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-103,25322-026,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-104,25322-027,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-105,25322-028,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-106,25322-029,0,0,0,0,,,PCTXO10,1,PCTXO16,1,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-107,25322-030,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-108,25322-031,0,0,0,0,,,PCTXO10,1,PCTXO18,1,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-109,25322-032,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-110,25322-033,0,0,0,0,,,PCTXO10,1,PCTXO11,1,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-111,25322-034,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-112,25322-035,0,0,0,0,,,PCTXO11,1,PCTXO12,1,PCTXO10,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-113,25322-036,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-114,25322-037,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-115,25322-038,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-116,25322-039,0,0,0,0,,,PCTXO11,1,PCTXO16,1,PCTXO10,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-117,25322-040,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-118,25322-041,0,0,0,0,,,PCTXO11,1,PCTXO18,1,PCTXO10,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-119,25322-042,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
